article_id	work_id	journal_issue_id	work_volume_number	issue_number
article-029475	work-043810	journal-issue-010093	Кн. VI	
article-029476	work-043811	journal-issue-010093	Кн. 2	
article-029569	work-044703	journal-issue-010170	№ 18 (34)	18
article-029576	work-044710	journal-issue-010166	№ 5–10. (41–46)	5–10
article-029581	work-044715	journal-issue-010174	№ 19 (35)	19
article-029586	work-044720	journal-issue-010174	№ 19 (35)	19
article-029590	work-044724	journal-issue-010170	№ 18 (34)	18
article-029592	work-044726	journal-issue-010170	№ 18 (34)	18
article-029597	work-044731	journal-issue-010165	№ 4 (20)	4
article-029599	work-044733	journal-issue-010180	№ 1 (17)	1
article-030035	work-046047	journal-issue-010432	Вып. 1	
article-030038	work-046050	journal-issue-010432	Вып. 1	
article-030039	work-046051	journal-issue-010433	Вып. 2	
article-030040	work-046052	journal-issue-010433	Вып. 2	
article-030041	work-046053	journal-issue-010433	Вып. 2	
article-030042	work-046054	journal-issue-010433	Вып. 2	
article-030043	work-046055	journal-issue-010433	Вып. 2	
article-030044	work-046056	journal-issue-010433	Вып. 2	
article-030045	work-046057	journal-issue-010432	Вып. 1	
article-030046	work-046058	journal-issue-010432	Вып. 1	
article-030047	work-046059	journal-issue-010433	Вып. 2	
article-030116	work-046128	journal-issue-010475	№ 4 (5)	4
article-030118	work-046130	journal-issue-010474	№ 7 (8)	7
article-030119	work-046131	journal-issue-010472	№ 2 (10)	2
article-030120	work-046132	journal-issue-010472	№ 2 (10)	2
article-030128	work-046140	journal-issue-010475	№ 4 (5)	4
article-030131	work-046143	journal-issue-010478	№ 1 (21)	1
article-030134	work-046146	journal-issue-010476	№ 6 (7)	6
article-030135	work-046147	journal-issue-010474	№ 7 (8)	7
article-030138	work-046150	journal-issue-010471	№ 6 (14)	6
article-030140	work-046152	journal-issue-010479	№ 3 (23)	3
article-030141	work-046153	journal-issue-010472	№ 2 (10)	2
article-030142	work-046154	journal-issue-010477	№ 4 (12)	4
article-030143	work-046155	journal-issue-010488	№ 5 (13)	5
article-030146	work-046158	journal-issue-010477	№ 4 (12)	4
article-030148	work-046160	journal-issue-010491	№ 9–10 (17–18)	9–10
article-030150	work-046162	journal-issue-010480	№ 11–12 (19–20)	11–12
article-030151	work-046163	journal-issue-010477	№ 4 (12)	4
