kind	severity	code	surface	owner	field	full_name	status	note	message
inventory			model	Language	language_id	Language.language_id	present	CharField	
inventory			model	Language	source_django_id	Language.source_django_id	present	PositiveIntegerField	
inventory			model	Language	code	Language.code	present	CharField	
inventory			model	Language	title	Language.title	present	CharField	
inventory			model	Language	description	Language.description	present	TextField	
inventory			model	Language	sort_order	Language.sort_order	present	PositiveIntegerField	
inventory			model	Section	section_id	Section.section_id	present	CharField	
inventory			model	Section	source_django_id	Section.source_django_id	present	PositiveIntegerField	
inventory			model	Section	source_code	Section.source_code	present	CharField	
inventory			model	Section	parent	Section.parent	present	ForeignKey	
inventory			model	Section	title	Section.title	present	CharField	
inventory			model	Section	description	Section.description	present	TextField	
inventory			model	Section	note	Section.note	present	TextField	
inventory			model	Section	sort_order	Section.sort_order	present	PositiveIntegerField	
inventory			model	Tag	tag_id	Tag.tag_id	present	CharField	
inventory			model	Tag	source_django_id	Tag.source_django_id	present	PositiveIntegerField	
inventory			model	Tag	title	Tag.title	present	CharField	
inventory			model	Tag	tag_type	Tag.tag_type	present	CharField	
inventory			model	Tag	parent	Tag.parent	present	ForeignKey	
inventory			model	Tag	description	Tag.description	present	TextField	
inventory			model	Tag	sort_order	Tag.sort_order	present	PositiveIntegerField	
inventory			model	Author	author_id	Author.author_id	present	CharField	
inventory			model	Author	source_django_id	Author.source_django_id	present	PositiveIntegerField	
inventory			model	Author	display_name	Author.display_name	present	CharField	
inventory			model	Author	heading_name	Author.heading_name	present	CharField	
inventory			model	Author	sort_name	Author.sort_name	present	CharField	
inventory			model	Author	aliases	Author.aliases	present	TextField	
inventory			model	Author	person_dates	Author.person_dates	present	CharField	
inventory			model	Author	authority_note	Author.authority_note	present	TextField	
inventory			model	Author	note	Author.note	present	TextField	
inventory			model	Journal	journal_id	Journal.journal_id	present	CharField	
inventory			model	Journal	source_django_id	Journal.source_django_id	present	PositiveIntegerField	
inventory			model	Journal	title	Journal.title	present	CharField	
inventory			model	Journal	parallel_title	Journal.parallel_title	present	CharField	
inventory			model	Journal	title_remainder	Journal.title_remainder	present	TextField	
inventory			model	Journal	responsibility_statement	Journal.responsibility_statement	present	TextField	
inventory			model	Journal	place	Journal.place	present	CharField	
inventory			model	Journal	publisher	Journal.publisher	present	CharField	
inventory			model	Journal	issn	Journal.issn	present	CharField	
inventory			model	Journal	periodicity	Journal.periodicity	present	CharField	
inventory			model	Journal	numbering_start	Journal.numbering_start	present	CharField	
inventory			model	Journal	numbering_end	Journal.numbering_end	present	CharField	
inventory			model	Journal	start_year	Journal.start_year	present	PositiveSmallIntegerField	
inventory			model	Journal	end_year	Journal.end_year	present	PositiveSmallIntegerField	
inventory			model	Journal	title_history_note	Journal.title_history_note	present	TextField	
inventory			model	Journal	description	Journal.description	present	TextField	
inventory			model	JournalIssue	journal_issue_id	JournalIssue.journal_issue_id	present	CharField	
inventory			model	JournalIssue	source_django_id	JournalIssue.source_django_id	present	PositiveIntegerField	
inventory			model	JournalIssue	journal	JournalIssue.journal	present	ForeignKey	
inventory			model	JournalIssue	title	JournalIssue.title	present	TextField	
inventory			model	JournalIssue	parallel_title	JournalIssue.parallel_title	present	CharField	
inventory			model	JournalIssue	title_remainder	JournalIssue.title_remainder	present	TextField	
inventory			model	JournalIssue	responsibility_statement	JournalIssue.responsibility_statement	present	TextField	
inventory			model	JournalIssue	year	JournalIssue.year	present	PositiveSmallIntegerField	
inventory			model	JournalIssue	publication_date	JournalIssue.publication_date	present	CharField	
inventory			model	JournalIssue	issue_number	JournalIssue.issue_number	present	CharField	
inventory			model	JournalIssue	volume	JournalIssue.volume	present	CharField	
inventory			model	JournalIssue	part_number	JournalIssue.part_number	present	CharField	
inventory			model	JournalIssue	gross_number	JournalIssue.gross_number	present	CharField	
inventory			model	JournalIssue	date_text	JournalIssue.date_text	present	CharField	
inventory			model	JournalIssue	chronology	JournalIssue.chronology	present	CharField	
inventory			model	JournalIssue	enumeration	JournalIssue.enumeration	present	CharField	
inventory			model	JournalIssue	publication_place	JournalIssue.publication_place	present	CharField	
inventory			model	JournalIssue	publisher	JournalIssue.publisher	present	CharField	
inventory			model	JournalIssue	publication_details	JournalIssue.publication_details	present	TextField	
inventory			model	JournalIssue	issn	JournalIssue.issn	present	CharField	
inventory			model	JournalIssue	isbn	JournalIssue.isbn	present	CharField	
inventory			model	JournalIssue	notes	JournalIssue.notes	present	TextField	
inventory			model	Work	work_id	Work.work_id	present	CharField	
inventory			model	Work	source_django_id	Work.source_django_id	present	PositiveIntegerField	
