key	sheet_row	journal_issue_id	journal_id	journal_title	year	issue_number	volume	gross_number	raw_publication_details
journal-002508 | 2007 | 11 | 	19	journal-issue-010379	journal-002508	Антиквариат, предметы искусства и коллекционирования	2007	11		53	
journal-002508 | 2007 | 11 | 	20	journal-issue-010404	journal-002508	Антиквариат, предметы искусства и коллекционирования	2007	11		52	
journal-002508 | 2009 | 9 | 	33	journal-issue-010384	journal-002508	Антиквариат, предметы искусства и коллекционирования	2009	9		70	
journal-002508 | 2009 | 9 | 	34	journal-issue-010390	journal-002508	Антиквариат, предметы искусства и коллекционирования	2009	9		69	
journal-002513 | 1997 | 1 | 	346	journal-issue-010482	journal-002513	Всемирный коллекционер	1997	1		21	
journal-002513 | 1997 | 1 | 	347	journal-issue-010490	journal-002513	Всемирный коллекционер	1997	1		9	
journal-002520 | 1998 | 15 | 	546	journal-issue-010528	journal-002520	Коллекция НГ	1998	15		17. Октябрь	
journal-002520 | 1998 | 15 | 	547	journal-issue-010529	journal-002520	Коллекция НГ	1998	15		17	— 1998. — № 15 (17). — октябрь. — С. 11: ил.
journal-002523 | 2000 | 6 | 	592	journal-issue-010556	journal-002523	Лавка коллекционера	2000	6		22. С. 2	
journal-002523 | 2000 | 6 | 	593	journal-issue-010605	journal-002523	Лавка коллекционера	2000	6		22	
journal-002523 | 2004 | 2 | 	611	journal-issue-010586	journal-002523	Лавка коллекционера	2004	2		28	
journal-002523 | 2004 | 2 | 	612	journal-issue-010590	journal-002523	Лавка коллекционера	2004	2		43	— 2004. — № 2 (43). — С. 9.
journal-002523 | 2007 | 5–7 | 	620	journal-issue-010551	journal-002523	Лавка коллекционера	2007	5–7		63–67	— 2007. — № 5–7 (63–67). — С. 12–13; 2007–2008. — № 1 (66–69). — С. 14–15.
journal-002523 | 2007 | 5–7 | 	621	journal-issue-010564	journal-002523	Лавка коллекционера	2007	5–7		63–65	
journal-002523 | 2009 | 1 | 	624	journal-issue-010576	journal-002523	Лавка коллекционера	2009	1		80–83	— 2009. — № 1 (80–83). — С. 22–23.
journal-002523 | 2009 | 1 | 	625	journal-issue-010614	journal-002523	Лавка коллекционера	2009	1		92–94	— 2009–2012. — № 1 (92–94). — С. 19.
journal-002572 | 2018 | 13 | 	860	journal-issue-011273	journal-002572	Наша газета — Новости Гознака	2018	13		265	
journal-002572 | 2018 | 13 | 	861	journal-issue-011279	journal-002572	Наша газета — Новости Гознака	2018	13		261	
journal-002538 | 2018 | 1 | 	1166	journal-issue-010809	journal-002538	Петербургский коллекционер	2018	1		105	— 2018. — № 1 (105). — С. 20–21.
journal-002538 | 2018 | 1 | 	1167	journal-issue-010917	journal-002538	Петербургский коллекционер	2018	1			— 2018. — № 1. — С. 14–18.
journal-002538 | 2018 | 2 | 	1168	journal-issue-010802	journal-002538	Петербургский коллекционер	2018	2		106	
journal-002538 | 2018 | 2 | 	1169	journal-issue-010828	journal-002538	Петербургский коллекционер	2018	2		108	
journal-002538 | 2018 | 2 | 	1170	journal-issue-010829	journal-002538	Петербургский коллекционер	2018	2		106	
journal-002538 | 2018 | 2 | 	1171	journal-issue-010919	journal-002538	Петербургский коллекционер	2018	2			— 2018. — № 2. — С. 19–27.
journal-002538 | 2019 | 3 | 	1177	journal-issue-010806	journal-002538	Петербургский коллекционер	2019	3		112	
journal-002538 | 2019 | 3 | 	1178	journal-issue-010834	journal-002538	Петербургский коллекционер	2019	3		112	— 2019. — № 3 (112). — С. [2].
journal-002538 | 2019 | 3 | 	1179	journal-issue-010884	journal-002538	Петербургский коллекционер	2019	3			— 2019. — № 3. — С. 26–28.
journal-002538 | 2019 | 4 | 	1180	journal-issue-010807	journal-002538	Петербургский коллекционер	2019	4		113	
journal-002538 | 2019 | 4 | 	1181	journal-issue-010831	journal-002538	Петербургский коллекционер	2019	4		113	— 2019. — № 4 (113). — С. [17].
journal-002538 | 2019 | 4 | 	1182	journal-issue-010887	journal-002538	Петербургский коллекционер	2019	4			— 2019. — № 4. — С. 18–20.
