journal_issue_id	article_count	issue_details	article_ids
journal-issue-010415	2	— 2011. — № 12. — С. 106–109.	article-030015; article-030016
journal-issue-010420	2	— 2012. — № 6. — С. 104.	article-030021; article-030022
journal-issue-011335	2	— 2000. — № 28. — С. 38–41.	article-032170; article-032192
journal-issue-011361	2	— 2003. — № 31 (252). — С. 52–66.	article-032200; article-032208
journal-issue-011322	3	— 2006. — № 4. — С. 42–44.	article-032156; article-032180; article-032220
journal-issue-011323	5	— 2008. — № 7 (408). — С. 30–34.	article-032157; article-032165; article-032179; article-032211; article-032216
journal-issue-011343	5	— 2010. — №7 (480). — С. 49–52.	article-032166; article-032172; article-032181; article-032217; article-032221
journal-issue-011347	2	— 2012. — № 7 (552). — С. 67–71	article-032185; article-032218
journal-issue-011345	3	— 2014. — №3 (608). — С.52–55.	article-032169; article-032183; article-032212
journal-issue-011346	3	— 2016. — № 1 (630). — С.49–54.	article-032184; article-032213; article-032222
journal-issue-011332	4	— 2016. — № 3 (632). — С. 33–38.	article-032167; article-032205; article-032207; article-032209
journal-issue-011353	3	— 2018. — № 2 (655). — С. 51–54.	article-032191; article-032210; article-032214
journal-issue-011338	2	— 2020. — № 2 (679). — С. 61–65.	article-032174; article-032215
journal-issue-011119	2	— 2004. — № 2. — С. 8–9.	article-031917; article-031931
journal-issue-011117	2	— 2005. — № 9. — С. 16–17.	article-031913; article-031923
journal-issue-011112	2	— 2006. — № 11. — С. 28–31.	article-031908; article-031929
journal-issue-011108	3	— 2006. — № 3. — С. 36.	article-031903; article-031905; article-031914
journal-issue-011114	2	— 2006. — № 4. — С. 30–31.	article-031910; article-031928
journal-issue-011107	2	— 2006. — № 7. — С. 22–25.	article-031902; article-031915
journal-issue-011113	2	— 2007. — № 2. — С. 34–36.	article-031909; article-031925
journal-issue-011509	2	— Рязань: Изд. центр «Банкирский дом», 2004. — С. 122–130. — Тираж 1350 экз. Статья, 0,85 п.л.	article-032432; article-032680
journal-issue-010432	6	— 2015. — Вып. 1. — С. 37–39.	article-030034; article-030035; article-030036; article-030038; article-030045; article-030046
journal-issue-010433	8	— 2016. — Вып. 2. — С. 53–59.	article-030037; article-030039; article-030040; article-030041; article-030042; article-030043; article-030044; article-030047
journal-issue-010124	5	— Харбин, 1931	article-029510; article-029511; article-029512; article-029515; article-029521
journal-issue-011374	4	— 1996. — № 2.	article-032228; article-032230; article-032238; article-032243
journal-issue-011378	2	— 1996. — № 4, 6.	article-032236; article-032245
journal-issue-011369	3	— 1996. — № 5.	article-032223; article-032231; article-032234
journal-issue-011379	2	— 1997. — № 5. — С. 55–58.	article-032237; article-032244
journal-issue-011372	4	— 1997. — № 9.	article-032226; article-032229; article-032246; article-032247
journal-issue-010085	2	— 1917. — № 17. — С. 123–124.	article-029465; article-029466
journal-issue-011152	3	— 2003. — № 0.	article-031959; article-032010; article-032011
journal-issue-011133	2	— 2003. — № 5.	article-031936; article-031949
journal-issue-011146	2	— 2003. — № 6.	article-031950; article-031951
journal-issue-011140	2	— 2004. — № 10 (18). — С. 60–63.	article-031943; article-031965
journal-issue-011144	2	— 2008. — № 3 (59). — С. 64–66.	article-031947; article-031982
journal-issue-011148	2	— 2009. — № 9–10 (77–78). — С. 58–57.	article-031953; article-031990
journal-issue-011149	2	— 2010. — № 2 (82). — С. 58–62.	article-031954; article-031993
journal-issue-011132	4	— 2011. — № 3 (89). — С. 48–57.	article-031935; article-031955; article-031956; article-032000
journal-issue-011150	2	— 2011. — № 5 (91). — С. 12–16.	article-031957; article-032002
journal-issue-011151	2	— 2017. — № 1–2 (123–124). — С. 22–25. О Крылкове.	article-031958; article-032008
journal-issue-010464	4	— 2001. — № 1. — С. 25–30.	article-030091; article-030094; article-030100; article-030101
journal-issue-010467	4	— 2002. — № 2. — С. 7–8.	article-030095; article-030096; article-030102; article-030106
journal-issue-010468	2	— 2002. — № 3.	article-030097; article-030098
journal-issue-010466	2	— 2002. — № 5. — С. 10–11.	article-030093; article-030099
journal-issue-010459	2	— 2004. — № 6. — С. 9.	article-030079; article-030080
journal-issue-010457	3	— 2004. — № 9. — С. 3–11.	article-030077; article-030083; article-030104
journal-issue-010458	2	— 2007. — № 18. — С. 20–22.	article-030078; article-030108
journal-issue-010465	3	— 2008. — № 21. — С. 13–14.	article-030092; article-030105; article-030107
journal-issue-010470	2	— 2008. — № 22. — С. 11.	article-030109; article-030110
journal-issue-010448	2	— 2012. — № 32. — С. 8–11	article-030062; article-033063
journal-issue-010450	4	— 2013. — № 34. — С. 7–10.	article-030064; article-030065; article-030066; article-030067
journal-issue-010451	2	— 2013. — № 35. — С. 7–9.	article-030068; article-030086
journal-issue-010452	3	— 2014. — № 36. — С. 8–9.	article-030069; article-030087; article-030088
journal-issue-010454	3	— 2014. — № 37. — С. 3–4.	article-030072; article-030073; article-030074
journal-issue-010453	2	— 2014. — № 38. — С. 5–7.	article-030070; article-030071
journal-issue-010455	2	— 2014. — № 39. — С. 10–12.	article-030075; article-030090
journal-issue-010456	2	— 2014. — № 40. — С. 9–12.	article-030076; article-030089
journal-issue-010483	2	— 1996. — № 3 (4). — С. 15: ил.	article-030127; article-030133
journal-issue-010475	4	— 1996. — № 4 (5). — С. 11: ил.	article-030115; article-030116; article-030128; article-030145
journal-issue-010476	2	— 1996. — № 6 (7). — С. 11: ил.	article-030117; article-030134
journal-issue-010474	3	— 1996. — № 7 (8). — С. 14: ил.	article-030114; article-030118; article-030135
journal-issue-010480	2	— 1997. — № 11–12 (19–20). — С. 9: ил.	article-030124; article-030150
journal-issue-010472	4	— 1997. — № 2 (10). — С. 14: ил.	article-030112; article-030119; article-030120; article-030141
journal-issue-010477	4	— 1997. — № 4 (12). — С. 14–15.	article-030121; article-030142; article-030146; article-030151
journal-issue-010488	2	— 1997. — № 5 (13). — С. 9: ил.	article-030137; article-030143
journal-issue-010471	2	— 1997. — № 6 (14). — С. 14: ил.	article-030111; article-030138
journal-issue-010484	2	— 1997. — № 8 (16). — С. 14: ил.	article-030129; article-030149
journal-issue-010491	3	— 1997. — № 9–10 (17–18). — С. 19: ил.	article-030147; article-030148; article-030152
journal-issue-010478	2	— 1998. — № 1 (21). — С. 16: ил.	article-030122; article-030131
journal-issue-010479	2	— 1998. — № 3 (23). — С. 14–15: ил.	article-030123; article-030140
journal-issue-011531	2	— №5 (37). — С. 26–33.	article-032461; article-032582
journal-issue-010146	4	— 1931. — № 3 (6) сентябрь.	article-029536; article-029537; article-029538; article-029539
journal-issue-011409	2	— 1989. — № 1. — С. 69–71.	article-032273; article-032287
journal-issue-011414	2	— 1995. — № 11.	article-032278; article-032288
journal-issue-011401	2	— 1995. — № 4.	article-032265; article-032282
journal-issue-011410	2	— 1997. — № 8.	article-032274; article-032286
